[I 240516 11:16:30 stock:51] on open
[I 240516 11:16:44 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6491153, 'exchange_timestamp': 1715838405000, 'last_traded_price': 4745700, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:45 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6491583, 'exchange_timestamp': 1715838405000, 'last_traded_price': 4745500, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:45 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6491903, 'exchange_timestamp': 1715838406000, 'last_traded_price': 4744990, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:45 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6492366, 'exchange_timestamp': 1715838406000, 'last_traded_price': 4745350, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:46 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6492643, 'exchange_timestamp': 1715838407000, 'last_traded_price': 4745315, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:47 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6493093, 'exchange_timestamp': 1715838407000, 'last_traded_price': 4744620, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:47 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6493352, 'exchange_timestamp': 1715838408000, 'last_traded_price': 4744705, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:47 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6493786, 'exchange_timestamp': 1715838408000, 'last_traded_price': 4744390, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:48 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6494061, 'exchange_timestamp': 1715838409000, 'last_traded_price': 4744960, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:49 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6494586, 'exchange_timestamp': 1715838409000, 'last_traded_price': 4745130, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:49 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6494872, 'exchange_timestamp': 1715838410000, 'last_traded_price': 4744500, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:49 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6495320, 'exchange_timestamp': 1715838410000, 'last_traded_price': 4744835, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:50 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6495598, 'exchange_timestamp': 1715838411000, 'last_traded_price': 4744925, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:50 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6496040, 'exchange_timestamp': 1715838411000, 'last_traded_price': 4744795, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:51 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6496320, 'exchange_timestamp': 1715838412000, 'last_traded_price': 4744875, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:52 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6496769, 'exchange_timestamp': 1715838412000, 'last_traded_price': 4744835, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:52 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6497029, 'exchange_timestamp': 1715838413000, 'last_traded_price': 4744930, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:53 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6497485, 'exchange_timestamp': 1715838413000, 'last_traded_price': 4744945, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:53 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6497751, 'exchange_timestamp': 1715838414000, 'last_traded_price': 4745055, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:53 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6498272, 'exchange_timestamp': 1715838414000, 'last_traded_price': 4745050, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:54 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6498540, 'exchange_timestamp': 1715838415000, 'last_traded_price': 4745000, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:55 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6499000, 'exchange_timestamp': 1715838415000, 'last_traded_price': 4745080, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:55 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6499250, 'exchange_timestamp': 1715838416000, 'last_traded_price': 4745015, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:55 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6499704, 'exchange_timestamp': 1715838416000, 'last_traded_price': 4745080, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:56 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6499974, 'exchange_timestamp': 1715838417000, 'last_traded_price': 4745135, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:56 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6500415, 'exchange_timestamp': 1715838417000, 'last_traded_price': 4745260, 'subscription_mode_val': 'LTP'}
[I 240516 11:16:57 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6500671, 'exchange_timestamp': 1715838418000, 'last_traded_price': 4745110, 'subscription_mode_val': 'LTP'}
